id,location_type,species,common_name,space_type,address,street,side,dbh,stems,height,space_length,space_width,overhead_utilities,hardscape,cultivar,date,notes,longitude,latitude,x,y
227658,Street,Quercus rubra,"oak, northern red",Open/Unrestricted,5901,REISTERSTOWN ROAD,Front,2.6,1,25,>20,8,None,None, ,"5/1/2017, 8:00 PM",remove hardware,-76.69538375,39.35139275,1398475.9763575941,613712.2449398339
227664,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,6,1,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH at 1; Estimated DBH,-76.69275891,39.34529148,1399225.7337163389,611492.4258886725
227665,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,10,1,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH estimated at 0.5,-76.69274465,39.3452845,1399229.7753749192,611489.8953819275
227666,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,12,1,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.69272943,39.34529406,1399234.0657206774,611493.391437918
227667,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,8,1,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH at 0.5; Estimated DBH,-76.69271802,39.34530545,1399237.2783126682,611497.5531750023
227668,Street,Tilia cordata,"linden, littleleaf",Tree Lawn,3705,BARTWOOD ROAD,Front,28.2,1,50,>20,5,None,None, ,"5/1/2017, 8:00 PM", ,-76.70004347,39.35932959,1397148.7562430054,616598.7824738324
227669,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,5,1,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM",Estimated DBH; DBH at 2,-76.69273229,39.34531354,1399233.2353417575,611500.4852557629
227670,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,12,1,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH estimated at 0.5,-76.69265148,39.34537236,1399256.0174484253,611521.9858689159
227671,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,4,2,8,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH estimated,-76.69262771,39.34539037,1399262.717238173,611528.5695171654
227672,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,6,2,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH estimated,-76.69262676,39.34540655,1399262.9662534297,611534.4618938416
227673,Street,Viburnum spp.,"viburnum, spp.",Open/Unrestricted,4300,HAYWARD AVE,Rear,6,1,10,>20,>20,None,None, ,"5/1/2017, 8:00 PM",Estimated DBH; DBH at 1,-76.69260394,39.34540728,1399269.4183402508,611534.7515914291
227681,Street,Platanus occidentalis,"sycamore, American",Open/Unrestricted,5583,KENNISON AVE,Opposite,32.9,1,60,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.7007923,39.34270325,1396956.8668630123,610542.1512144208
227682,Street,Robinia pseudoacacia,"locust, black",Open/Unrestricted,5577,KENNISON AVE,Opposite,19,1,60,>20,>20,None,None, ,"5/1/2017, 8:00 PM",remove vines; vines >50%,-76.70062117,39.3426994,1397005.2709656805,610540.9041696787
